Depression and anxiety,Life satisfaction,Self-esteem,Subjective happiness,Loneliness,Greenspace use (frequency),Greenspace use (duration),Nature view,Sex,Age,Income,Impact of COVID-19 on income,Number of working days,Number of children,Presence of a pet,Frequency of drinking alcohol,Frequency of smoking,Housing type
2,12,29,23,45,1,0.5,1,female,46,5,3,5,0,0,0,0,owned_flat
6,12,16,9,57,0,0,1,female,64,1,4,0,0,1,7,0,rented_flat
7,12,25,19,46,0,0,1,female,50,3,1,0,0,0,2,7,rented_flat
2,12,35,28,47,0,0,1,female,65,1,1,0,0,0,0,0,owned_house
1,13,30,20,41,0,0,0,male,49,6,4,4,1,0,4,0,owned_flat
7,11,24,14,56,0,0,1,male,54,4,3,7,0,0,3,0,owned_house
2,12,27,19,42,0,0,1,female,75,2,4,0,0,0,0,0,owned_house
4,15,32,18,56,0,0,1,male,47,5,2,2,1,0,7,4,rented_flat
7,9,22,14,65,0,0,1,female,61,2,1,5,0,1,5,0,owned_house
9,12,24,12,49,1,1.5,1,male,49,6,4,5,2,0,4,4,owned_flat
0,13,35,22,54,31,7,1,female,55,3,4,7,0,1,5,0,owned_flat
1,14,30,20,43,3,3,1,male,63,2,4,5,0,0,6,0,rented_flat
2,11,26,22,39,20,11,1,male,71,2,4,3,0,0,7,0,owned_flat
6,16,29,19,34,7,1.5,1,male,72,2,4,7,0,1,5,0,owned_house
2,12,22,21,42,0,0,1,female,42,1,1,7,0,0,0,0,rented_flat
8,4,27,17,51,0,0,0,male,53,5,4,7,1,0,7,0,owned_flat
10,15,28,18,50,0,0,0,male,49,3,4,6,0,1,0,7,owned_house
0,15,36,23,27,3,0.5,1,male,71,5,2,5,0,0,4,0,owned_house
8,10,20,9,62,0,0,1,male,50,1,3,7,0,1,0,0,rented_flat
2,8,20,12,69,0,0,1,male,70,1,4,7,0,0,0,0,other
4,12,30,24,43,2,1.5,1,male,51,6,4,7,1,0,2,0,owned_flat
2,13,28,20,43,0,0,1,female,53,4,2,0,1,1,0,0,owned_house
4,11,30,18,48,0,0,1,female,60,3,3,0,0,0,0,0,owned_house
8,13,27,23,47,0,0,1,male,48,3,4,7,0,0,0,0,rented_flat
